exercise_name,equipment,mechanics,force,desc,execution,muscle_group,level
Neck Flexion,Cable,Isolated,Pull,Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.,Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.,Neck,2
Neck Flexion,Lever (plate loaded),Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,Neck,2
Lateral Neck Flexion,Lever (plate loaded),Isolated,Pull,Sit on seat in machine with feet apart   . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,Neck,2
Neck Flexion,Lever (selectorized),Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,Neck,2
Lateral Neck Flexion,Lever (selectorized),Isolated,Pull,Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,Neck,2
Neck Flexion,Weighted,Isolated,Pull,Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.,Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.,Neck,2
Lateral Neck Flexion,Weighted,Isolated,Pull,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.,Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,Neck,2
Wall Front Neck Bridge,Body Weight,Isolated,Push & Pull,"Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.",Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,Neck,3
Wall Side Neck Bridge,Body Weight,Isolated,Pull,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,Neck,3
Neck Flexion,Suspended,Isolated,Pull,Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.,Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.,Neck,2
Lateral Neck Flexion,Suspended,Isolated,Pull,Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.,Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.,Neck,2
Neck Extension,Cable,Isolated,Pull,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.,Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Neck,2
Neck Extension,Lever (plate loaded),Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Neck,2
Neck Extension,Lever (selectorized),Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Neck,2
Seated Neck Extension,Weighted,Isolated,Pull,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,Neck,2
Seated Neck Extension:  Harness,Weighted,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Neck,3
Neck Retraction,Band Resistive,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Neck,1
Wall Rear Neck Bridge,Body Weight,Isolated,Pull,Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen.,Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,Neck,3
Lying Neck Retraction,Isometric,Isolated,Pull,Lie supine on mat.,Push head into mat and hold position. Relax and repeat.,Neck,1
Neck Extension,Suspended,Isolated,Pull,Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.,Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.,Neck,2
Front Raise,Barbell,Isolated,Push,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,Shoulders,2
Military Press,Barbell,Compound,Push,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,Shoulders,4
Military Press:  Seated,Barbell,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,Shoulders,3
Front Raise,Cable,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,Shoulders,2
Front Raise:  Alternating,Cable,Isolated,Push,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.",Shoulders,2
Front Raise:  One Arm,Cable,Isolated,Push,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,Shoulders,2
